TOKEN	[CLS]	A	person	on	a	horse	jumps	over	a	broken	down	airplane	.	[SEP]
[CLS]	0.468643	0.037083	0.031389	0.032576	0.049517	0.030940	0.043504	0.042119	0.038068	0.035043	0.028510	0.031245	0.061017	0.070348
A	0.759818	0.014828	0.013319	0.014172	0.021873	0.017945	0.008135	0.006720	0.016218	0.015883	0.008461	0.015915	0.032422	0.054292
person	0.470395	0.042545	0.000636	0.020909	0.030814	0.012532	0.008496	0.024068	0.027977	0.018865	0.013617	0.003045	0.100376	0.225725
on	0.795824	0.015875	0.006303	0.007854	0.020728	0.010531	0.006555	0.010820	0.015248	0.015504	0.004015	0.010087	0.024876	0.055780
a	0.800089	0.014177	0.008078	0.007233	0.017875	0.008931	0.002779	0.003143	0.013660	0.012104	0.005383	0.011181	0.034702	0.060664
horse	0.473269	0.021719	0.008450	0.025972	0.031194	0.000441	0.021226	0.002382	0.020536	0.008646	0.005352	0.100746	0.044441	0.235625
jumps	0.767300	0.010386	0.001660	0.007216	0.011517	0.022118	0.000056	0.004051	0.007104	0.003646	0.001937	0.001485	0.052527	0.108996
over	0.681828	0.013830	0.010212	0.033212	0.041803	0.009684	0.010708	0.005855	0.030143	0.009080	0.004198	0.004778	0.043954	0.100714
a	0.768599	0.016083	0.007837	0.010542	0.021854	0.005487	0.002671	0.004825	0.016732	0.012944	0.006605	0.009113	0.044002	0.072706
broken	0.636596	0.009365	0.005566	0.059109	0.045409	0.015826	0.009447	0.012849	0.025169	0.001943	0.005897	0.006873	0.065222	0.100730
down	0.630532	0.022972	0.011265	0.029204	0.056877	0.010865	0.004723	0.018175	0.039166	0.009426	0.002435	0.004395	0.061833	0.098131
airplane	0.476125	0.017113	0.003059	0.013497	0.038990	0.031781	0.003794	0.002964	0.024429	0.005185	0.010099	0.000086	0.211631	0.161248
.	0.632799	0.025170	0.028171	0.016387	0.040456	0.018652	0.043254	0.016271	0.027795	0.021810	0.010976	0.016888	0.034626	0.066745
[SEP]	0.428674	0.043190	0.030725	0.033803	0.059736	0.066888	0.027281	0.028249	0.046920	0.036215	0.025956	0.027551	0.062616	0.082196
