TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.085631	0.076654	0.079686	0.086287	0.070533	0.073579	0.096014	0.095912	0.076393	0.093656	0.094075	0.071581
A	0.069261	0.083345	0.073143	0.079050	0.068898	0.094400	0.091292	0.086670	0.091455	0.082631	0.081071	0.098785
person	0.129446	0.093231	0.055051	0.051866	0.044189	0.107274	0.085055	0.084710	0.050922	0.104515	0.098117	0.095627
is	0.088654	0.088244	0.050926	0.068322	0.043351	0.103670	0.089206	0.098588	0.068243	0.119376	0.083212	0.098208
training	0.073083	0.116854	0.059518	0.093635	0.056317	0.079522	0.085667	0.116848	0.060916	0.076421	0.075792	0.105426
his	0.079543	0.086647	0.065475	0.077007	0.046969	0.110510	0.108554	0.090124	0.080375	0.087967	0.104843	0.061988
horse	0.073002	0.095420	0.061860	0.056014	0.045290	0.119290	0.107757	0.082541	0.080565	0.080551	0.116796	0.080915
for	0.075612	0.080540	0.051284	0.077658	0.067401	0.088581	0.098581	0.082934	0.095593	0.091914	0.106855	0.083046
a	0.081478	0.096824	0.072430	0.068185	0.060013	0.085773	0.089874	0.102970	0.070084	0.092743	0.100929	0.078697
competition	0.077912	0.094457	0.062983	0.102983	0.063198	0.084787	0.130205	0.088477	0.079847	0.062115	0.096575	0.056459
.	0.078640	0.084379	0.073106	0.070943	0.055041	0.078868	0.102101	0.099964	0.059014	0.088014	0.133643	0.076287
[SEP]	0.080759	0.093231	0.052495	0.081477	0.067993	0.086022	0.121508	0.095008	0.063472	0.058441	0.119791	0.079802
