TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.130111	0.019059	0.007681	0.028309	0.012384	0.006690	0.003077	0.013253	0.014569	0.003030	0.019073	0.742763
A	0.002774	0.007409	0.042988	0.602620	0.098642	0.022627	0.001041	0.005889	0.001615	0.002965	0.009021	0.202409
person	0.005713	0.008138	0.043722	0.041049	0.083381	0.016921	0.007625	0.000461	0.000813	0.002474	0.003385	0.786317
is	0.007943	0.007446	0.006518	0.047029	0.383981	0.122613	0.011848	0.012619	0.011985	0.006281	0.012064	0.369673
training	0.003049	0.002371	0.000828	0.011312	0.021795	0.009663	0.012587	0.043853	0.004427	0.005926	0.005785	0.878404
his	0.002296	0.001643	0.001208	0.037237	0.058263	0.010440	0.027674	0.021130	0.008802	0.025250	0.010071	0.795985
horse	0.003255	0.000188	0.000328	0.000294	0.001473	0.001083	0.001070	0.001249	0.002793	0.002160	0.003243	0.982864
for	0.000555	0.000391	0.001507	0.000938	0.001068	0.004027	0.001606	0.005670	0.031757	0.808965	0.010117	0.133399
a	0.001081	0.000542	0.002386	0.001283	0.000806	0.006000	0.000674	0.012239	0.030145	0.356606	0.017672	0.570566
competition	0.001418	0.000279	0.000421	0.000052	0.000526	0.001205	0.000850	0.001177	0.007418	0.013043	0.010829	0.962782
.	0.014947	0.005671	0.004884	0.007848	0.003383	0.001385	0.000465	0.001325	0.001594	0.002674	0.031714	0.924110
[SEP]	0.020878	0.001432	0.001579	0.001989	0.002872	0.001475	0.000884	0.001479	0.001423	0.002048	0.007875	0.956067
