TOKEN	[CLS]	A	person	on	a	horse	jumps	over	a	broken	down	airplane	.	[SEP]
[CLS]	0.086286	0.064813	0.111008	0.070787	0.070556	0.064585	0.072183	0.077442	0.079638	0.060804	0.058718	0.077407	0.057085	0.048687
A	0.074091	0.050277	0.051928	0.077497	0.097328	0.063044	0.053142	0.088433	0.080867	0.051272	0.089307	0.063259	0.052902	0.106652
person	0.073037	0.059965	0.053247	0.095591	0.078188	0.087068	0.070197	0.071698	0.081135	0.041087	0.080657	0.054963	0.076996	0.076171
on	0.095355	0.047837	0.061102	0.060069	0.096478	0.081402	0.066338	0.065404	0.077571	0.035731	0.077711	0.100169	0.062776	0.072057
a	0.088816	0.060480	0.066400	0.054914	0.104040	0.062092	0.066817	0.071745	0.075312	0.066179	0.076887	0.076280	0.057324	0.072714
horse	0.091163	0.077459	0.056191	0.069352	0.068350	0.069691	0.050651	0.086651	0.053052	0.064208	0.086261	0.073938	0.078486	0.074549
jumps	0.075888	0.066696	0.052979	0.088775	0.086978	0.086854	0.055365	0.072428	0.076417	0.044728	0.088345	0.080395	0.059846	0.064306
over	0.086800	0.049399	0.061268	0.077753	0.085516	0.065676	0.062539	0.075477	0.086033	0.051621	0.088064	0.061289	0.086414	0.062151
a	0.073673	0.050205	0.065263	0.056496	0.092339	0.058799	0.073479	0.079202	0.068547	0.051947	0.100820	0.090954	0.076547	0.061729
broken	0.079686	0.070204	0.070009	0.055469	0.083354	0.054632	0.056893	0.089590	0.072822	0.068269	0.099399	0.068123	0.055414	0.076135
down	0.091518	0.067605	0.071430	0.073664	0.078205	0.060538	0.044808	0.071899	0.090174	0.066441	0.099135	0.068415	0.044552	0.071615
airplane	0.096063	0.058204	0.080839	0.066567	0.080160	0.058748	0.041525	0.094203	0.058320	0.086477	0.097157	0.077543	0.058743	0.045450
.	0.109403	0.063978	0.044123	0.059948	0.121391	0.061898	0.072572	0.081503	0.061910	0.076176	0.078440	0.065042	0.063354	0.040262
[SEP]	0.099598	0.056209	0.069064	0.060139	0.103490	0.048250	0.077108	0.068868	0.073680	0.055642	0.086069	0.052723	0.077937	0.071225
