TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.097634	0.075643	0.076095	0.079054	0.067970	0.103985	0.063195	0.078363	0.070965	0.115287	0.077409	0.094400
A	0.062440	0.076117	0.072753	0.076763	0.083121	0.097065	0.069656	0.110862	0.087779	0.081214	0.086261	0.095970
person	0.084804	0.068719	0.065736	0.062927	0.076190	0.078884	0.092667	0.089473	0.078529	0.085016	0.115161	0.101892
is	0.074756	0.063565	0.079120	0.071270	0.087742	0.083361	0.073942	0.096760	0.078689	0.098849	0.066738	0.125208
training	0.093282	0.074451	0.070695	0.078511	0.102114	0.104283	0.071923	0.089880	0.059438	0.089066	0.078380	0.087979
his	0.095454	0.073055	0.090199	0.103284	0.080215	0.065061	0.070154	0.103408	0.076134	0.079228	0.089540	0.074268
horse	0.093779	0.078504	0.090782	0.082775	0.078312	0.075195	0.064558	0.086890	0.076383	0.095108	0.080315	0.097399
for	0.081102	0.069442	0.069830	0.074323	0.088267	0.084657	0.073969	0.085772	0.087088	0.095626	0.080266	0.109659
a	0.073230	0.080550	0.064742	0.078297	0.104329	0.093759	0.067956	0.087338	0.072972	0.094686	0.103810	0.078331
competition	0.087528	0.094060	0.062045	0.070051	0.069259	0.115311	0.059178	0.110039	0.065526	0.082911	0.092784	0.091308
.	0.101517	0.067106	0.087002	0.083041	0.068113	0.072154	0.078845	0.100671	0.059543	0.112014	0.070958	0.099036
[SEP]	0.082635	0.079411	0.068557	0.090520	0.065924	0.078943	0.069233	0.107704	0.078911	0.098299	0.073972	0.105891
