TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.071815	0.096005	0.068046	0.081044	0.104079	0.064990	0.090225	0.072009	0.072829	0.098065	0.107586	0.073308
A	0.079507	0.106787	0.101877	0.078168	0.085284	0.045885	0.068283	0.067135	0.078757	0.096344	0.126636	0.065336
person	0.106703	0.071649	0.073704	0.071603	0.092813	0.090412	0.090571	0.089585	0.078991	0.084224	0.075980	0.073766
is	0.080278	0.071092	0.056013	0.063723	0.099075	0.059821	0.109249	0.091797	0.112421	0.098740	0.058207	0.099583
training	0.063373	0.087826	0.073852	0.090365	0.079782	0.058150	0.092784	0.092244	0.088632	0.111196	0.079272	0.082522
his	0.084302	0.065610	0.066647	0.082753	0.117051	0.057533	0.073252	0.092441	0.102052	0.078647	0.102807	0.076907
horse	0.077283	0.087906	0.103465	0.091847	0.096503	0.047900	0.097136	0.064267	0.086153	0.089991	0.083461	0.074088
for	0.064847	0.097733	0.075717	0.084210	0.086020	0.056864	0.093930	0.087636	0.095477	0.085682	0.094305	0.077578
a	0.062432	0.091585	0.060733	0.080461	0.060204	0.076116	0.076147	0.103173	0.103283	0.110140	0.075757	0.099969
competition	0.086827	0.091667	0.050164	0.070961	0.078098	0.069367	0.085523	0.081298	0.094786	0.108951	0.083888	0.098470
.	0.094171	0.079148	0.051008	0.051975	0.109010	0.050686	0.088270	0.093589	0.124451	0.095922	0.088371	0.073399
[SEP]	0.083238	0.082651	0.097707	0.068856	0.082079	0.058203	0.075767	0.107151	0.082451	0.084841	0.116812	0.060244
