TOKEN	[CLS]	None	of	the	kids	will	be	going	to	college	yet	.	[SEP]
[CLS]	0.221175	0.014182	0.014675	0.026366	0.078508	0.021998	0.016686	0.022236	0.029976	0.024954	0.009947	0.033606	0.485690
None	0.300300	0.002428	0.009817	0.015152	0.043961	0.111009	0.016073	0.034465	0.040565	0.019493	0.006008	0.062548	0.338183
of	0.233245	0.009054	0.017333	0.018656	0.013769	0.026991	0.007870	0.024517	0.037755	0.013914	0.008878	0.025574	0.562445
the	0.114286	0.027825	0.031858	0.141687	0.096638	0.045380	0.029920	0.020362	0.051525	0.054698	0.027516	0.054826	0.303478
kids	0.193069	0.025815	0.038651	0.038854	0.027931	0.057967	0.036943	0.123910	0.065965	0.080765	0.098034	0.097016	0.115080
will	0.051769	0.078660	0.076199	0.041850	0.128376	0.110955	0.041684	0.069273	0.019913	0.033939	0.033020	0.114460	0.199902
be	0.179516	0.024379	0.053560	0.033294	0.036813	0.059974	0.018297	0.064382	0.026422	0.030671	0.015575	0.055100	0.402016
going	0.247378	0.044877	0.067098	0.024646	0.038373	0.024712	0.026008	0.011969	0.031757	0.073326	0.025433	0.075915	0.308509
to	0.152342	0.048216	0.079928	0.065184	0.040455	0.052773	0.024116	0.033060	0.060761	0.021225	0.048785	0.100991	0.272162
college	0.179440	0.035829	0.095638	0.084054	0.039071	0.077022	0.019269	0.093300	0.084158	0.018224	0.031882	0.109027	0.133086
yet	0.328853	0.005489	0.029081	0.036017	0.047906	0.038238	0.014352	0.020251	0.032853	0.013398	0.004578	0.073546	0.355437
.	0.115639	0.032300	0.032564	0.072376	0.068669	0.029654	0.028180	0.023397	0.070182	0.015277	0.049552	0.100499	0.361710
[SEP]	0.555977	0.002104	0.005488	0.010120	0.012699	0.003718	0.003173	0.002784	0.006302	0.004602	0.000947	0.007631	0.384454
