TOKEN	[CLS]	A	boy	is	jumping	on	skate	##board	in	the	middle	of	a	red	bridge	.	[SEP]
[CLS]	0.039983	0.044504	0.069035	0.037066	0.055857	0.081108	0.075499	0.045223	0.088000	0.059396	0.071035	0.041144	0.062703	0.050216	0.070519	0.055583	0.053127
A	0.045549	0.044162	0.059556	0.044686	0.091453	0.063764	0.087219	0.048577	0.046763	0.066702	0.045403	0.064804	0.059030	0.054050	0.046629	0.056719	0.074935
boy	0.051931	0.062388	0.054199	0.043684	0.069819	0.061528	0.045972	0.037627	0.047480	0.077842	0.057413	0.067379	0.055387	0.048777	0.063263	0.091128	0.064185
is	0.052165	0.042207	0.044978	0.047011	0.082121	0.070244	0.056459	0.046896	0.065487	0.068483	0.047655	0.057378	0.074050	0.052099	0.074407	0.069981	0.048380
jumping	0.050234	0.061388	0.067830	0.042470	0.092982	0.060224	0.050393	0.046882	0.052038	0.059504	0.041248	0.048150	0.068720	0.047852	0.092758	0.058751	0.058576
on	0.046557	0.041016	0.045860	0.037947	0.101274	0.048394	0.060403	0.054547	0.060866	0.091381	0.031904	0.066557	0.067772	0.051998	0.068743	0.066243	0.058539
skate	0.040153	0.062375	0.060167	0.045896	0.097420	0.056705	0.051036	0.034801	0.048336	0.086041	0.040650	0.058096	0.073113	0.044364	0.087094	0.048959	0.064795
##board	0.044391	0.046221	0.063777	0.055813	0.074871	0.065242	0.075611	0.053277	0.050853	0.071635	0.039516	0.037416	0.071950	0.040287	0.075568	0.080087	0.053485
in	0.037875	0.055152	0.062971	0.042835	0.084387	0.061055	0.066193	0.057146	0.058806	0.079028	0.055193	0.049570	0.080691	0.041690	0.066094	0.062406	0.038908
the	0.036622	0.033847	0.059508	0.030263	0.115145	0.068358	0.055487	0.030521	0.051920	0.086472	0.040941	0.055002	0.074472	0.052044	0.073441	0.075620	0.060336
middle	0.032033	0.043069	0.049493	0.046675	0.101416	0.082579	0.054935	0.038658	0.047349	0.073530	0.037963	0.063888	0.071349	0.045800	0.072711	0.082150	0.056403
of	0.044246	0.052243	0.060576	0.047857	0.084954	0.071559	0.067597	0.054335	0.068475	0.077201	0.035969	0.046383	0.062186	0.045264	0.066487	0.055691	0.058977
a	0.033833	0.027086	0.048394	0.036140	0.091676	0.060377	0.097440	0.041847	0.067677	0.080662	0.039382	0.052722	0.080196	0.053739	0.065736	0.061692	0.061402
red	0.039065	0.043231	0.054130	0.048180	0.078723	0.071128	0.060621	0.060617	0.062838	0.072066	0.050064	0.039584	0.066255	0.042121	0.084466	0.071473	0.055438
bridge	0.062579	0.048442	0.056070	0.041685	0.073130	0.072327	0.049597	0.042316	0.052323	0.076025	0.039640	0.053828	0.056668	0.054729	0.071155	0.089142	0.060343
.	0.040728	0.054704	0.059609	0.056349	0.089244	0.085609	0.052752	0.047208	0.048431	0.066571	0.053872	0.049582	0.069410	0.043760	0.056953	0.054560	0.070657
[SEP]	0.029037	0.038386	0.059194	0.035452	0.082667	0.067774	0.072698	0.047228	0.075017	0.066320	0.033608	0.051531	0.066612	0.041732	0.085586	0.081462	0.065697
