TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.019351	0.007145	0.001521	0.003595	0.018042	0.008443	0.003772	0.026213	0.011121	0.028288	0.281985	0.590524
A	0.346223	0.023908	0.002288	0.001421	0.002507	0.001030	0.000089	0.000915	0.000075	0.000700	0.046683	0.574161
person	0.000829	0.940530	0.001630	0.001530	0.000895	0.005817	0.000067	0.000188	0.000494	0.000106	0.000689	0.047225
is	0.006425	0.033380	0.456382	0.060362	0.004714	0.006600	0.002363	0.000172	0.000045	0.000351	0.000587	0.428620
training	0.000205	0.003376	0.006585	0.453538	0.002588	0.003020	0.000746	0.001292	0.000260	0.000123	0.000227	0.528042
his	0.000025	0.000042	0.000025	0.001280	0.984112	0.000914	0.000080	0.005757	0.000017	0.000012	0.000044	0.007692
horse	0.000119	0.005407	0.000406	0.001671	0.003480	0.805666	0.000499	0.001869	0.003266	0.000043	0.000100	0.177473
for	0.000267	0.000048	0.000099	0.000085	0.000124	0.003333	0.043817	0.012580	0.001248	0.012851	0.000946	0.924603
a	0.000005	0.000001	0.000001	0.000007	0.000222	0.000105	0.000042	0.995115	0.000464	0.000680	0.000187	0.003172
competition	0.000157	0.003661	0.000115	0.000276	0.000742	0.017665	0.000506	0.175271	0.568808	0.004754	0.007953	0.220092
.	0.002532	0.001805	0.000150	0.000187	0.000316	0.000507	0.000799	0.019846	0.012531	0.177410	0.074705	0.709212
[SEP]	0.002196	0.000584	0.000077	0.000303	0.000262	0.000599	0.000069	0.000410	0.000494	0.000628	0.006946	0.987433
