TOKEN	[CLS]	A	boy	is	jumping	on	skate	##board	in	the	middle	of	a	red	bridge	.	[SEP]
[CLS]	0.052481	0.068646	0.049868	0.057965	0.072817	0.049762	0.072094	0.043360	0.047111	0.069475	0.057255	0.040829	0.056374	0.055076	0.051717	0.093022	0.062150
A	0.055261	0.073670	0.058986	0.052428	0.058362	0.047343	0.053746	0.036998	0.078463	0.073712	0.063063	0.041180	0.047372	0.072221	0.048699	0.074223	0.064271
boy	0.081639	0.067929	0.066893	0.067703	0.073657	0.048110	0.039777	0.033236	0.060000	0.056062	0.050658	0.043826	0.072321	0.068111	0.050019	0.066312	0.053748
is	0.061557	0.053056	0.039580	0.048255	0.091160	0.052643	0.088408	0.048788	0.072008	0.062948	0.059694	0.043692	0.065905	0.036780	0.051049	0.061506	0.062971
jumping	0.043923	0.051547	0.065497	0.062088	0.064578	0.059995	0.071440	0.053035	0.059882	0.067237	0.059974	0.029038	0.050670	0.076664	0.037266	0.082606	0.064561
on	0.054032	0.059070	0.057173	0.053562	0.070166	0.053972	0.060473	0.039946	0.065486	0.071690	0.050471	0.046142	0.052387	0.067694	0.058481	0.075974	0.063281
skate	0.037399	0.044126	0.035367	0.048073	0.076591	0.044398	0.077176	0.057311	0.062868	0.069882	0.051321	0.042989	0.051008	0.063052	0.060266	0.086619	0.091555
##board	0.054433	0.056877	0.039869	0.054524	0.071685	0.051454	0.079089	0.037574	0.061226	0.063082	0.062958	0.045997	0.053797	0.061030	0.054824	0.074133	0.077447
in	0.046259	0.065933	0.048547	0.056678	0.059967	0.040424	0.079923	0.046594	0.048188	0.066913	0.074121	0.033634	0.059358	0.066473	0.059860	0.086104	0.061022
the	0.067616	0.076248	0.056286	0.048508	0.058009	0.048271	0.071690	0.050090	0.067202	0.065576	0.050501	0.051060	0.051953	0.062454	0.048127	0.071478	0.054930
middle	0.074410	0.072316	0.054100	0.052787	0.067560	0.045191	0.062360	0.040524	0.066235	0.087228	0.056397	0.032959	0.043074	0.056265	0.049590	0.077327	0.061676
of	0.059296	0.047781	0.057951	0.051844	0.046697	0.060711	0.048163	0.047138	0.058861	0.075097	0.068307	0.049577	0.060375	0.071381	0.069934	0.071111	0.055775
a	0.044076	0.063160	0.058026	0.052080	0.055328	0.059052	0.068246	0.064077	0.060241	0.067308	0.069089	0.043688	0.065616	0.049114	0.054667	0.056423	0.069810
red	0.050231	0.057420	0.065643	0.061108	0.087477	0.052433	0.064622	0.044444	0.052759	0.083555	0.056527	0.024091	0.067694	0.064179	0.056712	0.065414	0.045690
bridge	0.057041	0.051012	0.043307	0.052758	0.067497	0.050544	0.063935	0.044521	0.063308	0.116511	0.057524	0.047080	0.056609	0.041026	0.064573	0.068145	0.054608
.	0.060030	0.056055	0.035610	0.043839	0.062109	0.049071	0.072259	0.044816	0.054911	0.080771	0.058573	0.038655	0.071474	0.069850	0.059136	0.089191	0.053651
[SEP]	0.062199	0.070984	0.052011	0.064174	0.044347	0.041196	0.076965	0.070894	0.048521	0.076912	0.063756	0.034288	0.056264	0.057400	0.063825	0.062723	0.053539
