TOKEN	[CLS]	A	person	is	at	a	diner	,	ordering	an	o	##mel	##ette	.	[SEP]
[CLS]	0.022818	0.303341	0.076059	0.058453	0.024013	0.140747	0.005804	0.019580	0.005654	0.011915	0.000675	0.000113	0.001297	0.292069	0.037462
A	0.108852	0.186480	0.039483	0.044213	0.006171	0.097268	0.005304	0.013284	0.002149	0.005844	0.000917	0.000462	0.001359	0.194430	0.293784
person	0.045906	0.163455	0.027476	0.069968	0.003484	0.022747	0.002988	0.007804	0.001686	0.001948	0.000734	0.000273	0.000719	0.058216	0.592596
is	0.203007	0.152566	0.062760	0.023129	0.005087	0.027401	0.002931	0.004285	0.000568	0.001041	0.000441	0.000271	0.000337	0.082258	0.433920
at	0.075374	0.269268	0.064620	0.128019	0.013212	0.026359	0.005881	0.013959	0.001934	0.002308	0.000741	0.000336	0.000800	0.050837	0.346355
a	0.049147	0.541554	0.048849	0.193449	0.005190	0.025590	0.000802	0.007359	0.000367	0.000473	0.000076	0.000022	0.000099	0.045562	0.081462
diner	0.102687	0.176036	0.041450	0.092731	0.006179	0.044540	0.007707	0.004901	0.000736	0.002088	0.000449	0.000351	0.000940	0.017527	0.501678
,	0.074562	0.359159	0.038770	0.164113	0.009653	0.034343	0.003109	0.009681	0.000799	0.000631	0.000159	0.000026	0.000174	0.024248	0.280572
ordering	0.075540	0.174265	0.029194	0.101295	0.022494	0.056407	0.006399	0.029612	0.004954	0.006882	0.000864	0.000400	0.002377	0.056266	0.433050
an	0.049268	0.412385	0.036322	0.138574	0.011488	0.058123	0.001877	0.110071	0.006288	0.010388	0.000568	0.000132	0.001482	0.093093	0.069942
o	0.077201	0.146274	0.014054	0.031105	0.003108	0.024712	0.001826	0.020828	0.002151	0.007930	0.000933	0.000620	0.001953	0.062175	0.605132
##mel	0.022166	0.052873	0.006465	0.008250	0.001724	0.016533	0.001606	0.011082	0.000808	0.002392	0.000347	0.000342	0.000846	0.011963	0.862604
##ette	0.037728	0.144696	0.029583	0.036286	0.006231	0.039092	0.004688	0.067780	0.008479	0.023150	0.002375	0.002945	0.004976	0.082436	0.509557
.	0.393769	0.186054	0.030390	0.066148	0.003779	0.019980	0.001328	0.011815	0.001925	0.003400	0.000763	0.000153	0.000534	0.067528	0.212434
[SEP]	0.039349	0.009498	0.005991	0.004092	0.002411	0.006457	0.007578	0.002356	0.002218	0.003351	0.001376	0.002322	0.001501	0.006707	0.904793
