TOKEN	[CLS]	A	person	is	at	a	diner	,	ordering	an	o	##mel	##ette	.	[SEP]
[CLS]	0.069851	0.064077	0.048339	0.080801	0.078708	0.048076	0.052921	0.047507	0.052274	0.063719	0.083531	0.062441	0.096937	0.069034	0.081785
A	0.061877	0.087435	0.067756	0.098975	0.053861	0.069327	0.065756	0.074267	0.037316	0.073793	0.074669	0.052193	0.056374	0.064941	0.061459
person	0.116261	0.045999	0.055988	0.095759	0.072181	0.077601	0.045953	0.075450	0.039130	0.064119	0.070967	0.040787	0.038078	0.061124	0.100604
is	0.077893	0.058246	0.096586	0.083203	0.077439	0.050963	0.063392	0.081013	0.035674	0.065130	0.068163	0.048052	0.055324	0.070723	0.068199
at	0.103331	0.061196	0.061658	0.075812	0.097895	0.067758	0.054126	0.062048	0.044819	0.049410	0.062775	0.078228	0.053758	0.065160	0.062025
a	0.071231	0.089751	0.066514	0.094186	0.100633	0.051788	0.062556	0.049313	0.037276	0.080833	0.053313	0.054203	0.053578	0.059301	0.075524
diner	0.091400	0.064846	0.072754	0.087860	0.073499	0.069340	0.058050	0.067222	0.042149	0.070279	0.063730	0.050226	0.054099	0.068125	0.066419
,	0.069398	0.050736	0.093520	0.096840	0.067402	0.072234	0.053879	0.086108	0.046912	0.067868	0.061985	0.063425	0.057659	0.059614	0.052420
ordering	0.099313	0.074190	0.063854	0.091086	0.077968	0.051160	0.060047	0.071619	0.052218	0.053456	0.076534	0.053350	0.064637	0.049357	0.061209
an	0.090778	0.046272	0.072698	0.082220	0.092553	0.047742	0.076325	0.063308	0.033736	0.081841	0.059141	0.063842	0.046408	0.072078	0.071056
o	0.108097	0.048541	0.074255	0.065881	0.089848	0.047055	0.059849	0.064314	0.033603	0.059777	0.070130	0.072799	0.051881	0.082711	0.071259
##mel	0.079933	0.072044	0.072937	0.096761	0.078162	0.065937	0.056749	0.060333	0.040036	0.066647	0.054957	0.058030	0.050350	0.069562	0.077561
##ette	0.056741	0.057709	0.079134	0.089824	0.105673	0.046495	0.046103	0.045594	0.050763	0.066905	0.067159	0.061025	0.080004	0.067104	0.079767
.	0.068557	0.060583	0.059319	0.075023	0.074467	0.064785	0.063193	0.067329	0.048874	0.063123	0.085262	0.061025	0.063839	0.051697	0.092924
[SEP]	0.085167	0.072375	0.062827	0.093262	0.040796	0.093129	0.049539	0.049051	0.046092	0.064397	0.075329	0.084081	0.068515	0.054862	0.060577
