TOKEN	[CLS]	A	person	is	at	a	diner	,	ordering	an	o	##mel	##ette	.	[SEP]
[CLS]	0.146158	0.037675	0.019641	0.122043	0.028338	0.040677	0.012931	0.002266	0.008528	0.008265	0.002614	0.000269	0.004577	0.022026	0.543993
A	0.012260	0.079057	0.089426	0.187242	0.018828	0.026008	0.047407	0.003532	0.017374	0.033008	0.009407	0.008404	0.025110	0.074089	0.368847
person	0.006151	0.023929	0.019353	0.042283	0.004387	0.006103	0.014557	0.002087	0.010603	0.017325	0.003923	0.002009	0.007859	0.013413	0.826020
is	0.010094	0.059503	0.073396	0.052364	0.011632	0.012969	0.021255	0.040995	0.014992	0.029029	0.006798	0.004505	0.011628	0.090268	0.560572
at	0.004352	0.014292	0.006010	0.023974	0.005364	0.005667	0.003129	0.010488	0.015968	0.016277	0.001965	0.001183	0.002714	0.009657	0.878959
a	0.009930	0.104629	0.058330	0.404314	0.018630	0.020484	0.017768	0.012362	0.032607	0.019435	0.005460	0.003764	0.012297	0.018526	0.261462
diner	0.007865	0.046188	0.025322	0.027679	0.015993	0.008565	0.025589	0.003976	0.013235	0.010354	0.007520	0.002804	0.015486	0.008228	0.781196
,	0.008161	0.030357	0.065309	0.617982	0.010209	0.007214	0.015904	0.004794	0.004009	0.003265	0.002127	0.002960	0.009272	0.012557	0.205879
ordering	0.004065	0.007486	0.006702	0.010490	0.006098	0.002365	0.003223	0.001486	0.001828	0.001860	0.000500	0.000391	0.001969	0.002764	0.948773
an	0.008588	0.103491	0.063142	0.086202	0.022243	0.010361	0.010870	0.005914	0.015611	0.007663	0.003728	0.001822	0.010912	0.013727	0.635724
o	0.003377	0.041159	0.026972	0.027581	0.009946	0.003193	0.029479	0.001105	0.009743	0.002799	0.002601	0.001282	0.009391	0.003652	0.827722
##mel	0.000735	0.007297	0.004957	0.004393	0.005004	0.001240	0.006222	0.000554	0.003732	0.000741	0.000611	0.000160	0.001586	0.000339	0.962430
##ette	0.002309	0.024255	0.014775	0.018648	0.007121	0.002883	0.011189	0.002688	0.006242	0.002269	0.001580	0.000672	0.003388	0.003365	0.898615
.	0.010765	0.144386	0.089812	0.330679	0.026543	0.034707	0.016318	0.005024	0.010460	0.009362	0.003201	0.001293	0.006559	0.021573	0.289318
[SEP]	0.032845	0.020550	0.020807	0.035193	0.007699	0.005329	0.015364	0.012088	0.011190	0.005294	0.003184	0.002302	0.006549	0.034422	0.787184
