TOKEN	[CLS]	A	person	on	a	horse	jumps	over	a	broken	down	airplane	.	[SEP]
[CLS]	0.013528	0.216061	0.030868	0.000953	0.004061	0.002940	0.103013	0.013059	0.014105	0.002434	0.001372	0.001542	0.399040	0.197024
A	0.319311	0.029561	0.001239	0.000939	0.000378	0.001349	0.012552	0.002265	0.000232	0.000139	0.000048	0.000185	0.053345	0.578458
person	0.095311	0.272387	0.015528	0.006685	0.008172	0.010169	0.049293	0.006386	0.003926	0.002316	0.000414	0.001364	0.030014	0.498037
on	0.050524	0.324601	0.111769	0.024913	0.040248	0.010376	0.018628	0.001779	0.002084	0.000092	0.000063	0.000315	0.014416	0.400193
a	0.140332	0.084255	0.037736	0.145528	0.023171	0.021786	0.010207	0.003870	0.001091	0.000841	0.000148	0.000609	0.029519	0.500907
horse	0.009317	0.086416	0.045641	0.211819	0.467829	0.052611	0.021483	0.006548	0.019916	0.000854	0.000910	0.003410	0.008622	0.064624
jumps	0.136594	0.040466	0.001249	0.000607	0.001795	0.001847	0.008833	0.001431	0.001621	0.000339	0.000238	0.000488	0.020076	0.784416
over	0.038872	0.033531	0.004276	0.004738	0.005725	0.003546	0.205341	0.093032	0.029730	0.007866	0.004925	0.007093	0.030558	0.530768
a	0.150629	0.005957	0.000717	0.002040	0.000237	0.002292	0.035247	0.213678	0.003850	0.023737	0.012788	0.011160	0.027808	0.509861
broken	0.012413	0.020668	0.001774	0.000409	0.001710	0.003368	0.021830	0.170427	0.099378	0.015842	0.026931	0.062123	0.026304	0.536821
down	0.005485	0.014848	0.001894	0.001029	0.001664	0.003533	0.037643	0.153157	0.135910	0.044004	0.020980	0.083873	0.008382	0.487601
airplane	0.007780	0.002964	0.000895	0.003663	0.001616	0.000959	0.043916	0.473313	0.113671	0.065861	0.130739	0.068506	0.007167	0.078950
.	0.049449	0.014654	0.001068	0.000838	0.000388	0.000484	0.004665	0.001254	0.000870	0.000308	0.000583	0.000321	0.027486	0.897632
[SEP]	0.063461	0.056860	0.039424	0.034400	0.040628	0.056560	0.027056	0.021996	0.036054	0.018419	0.037361	0.033985	0.055201	0.478597
