TOKEN	[CLS]	A	person	is	at	a	diner	,	ordering	an	o	##mel	##ette	.	[SEP]
[CLS]	0.069906	0.071442	0.068386	0.071658	0.053557	0.077574	0.056925	0.063952	0.052087	0.050496	0.069628	0.057249	0.080689	0.058913	0.097538
A	0.068683	0.121371	0.076112	0.072675	0.069219	0.061911	0.074094	0.069600	0.052108	0.041648	0.065723	0.052882	0.051771	0.066852	0.055352
person	0.057384	0.115681	0.061286	0.075109	0.056563	0.051254	0.085593	0.078231	0.065982	0.062009	0.048004	0.052200	0.077918	0.056327	0.056458
is	0.063304	0.086887	0.065271	0.090677	0.057972	0.064087	0.060201	0.084414	0.054407	0.053087	0.050356	0.057412	0.070521	0.084562	0.056839
at	0.057663	0.107064	0.059143	0.079153	0.066066	0.048353	0.066288	0.071342	0.063150	0.037403	0.057957	0.047004	0.118279	0.062882	0.058253
a	0.054847	0.075453	0.058170	0.066207	0.070849	0.068959	0.060327	0.067050	0.069215	0.061682	0.058914	0.052869	0.087608	0.070197	0.077653
diner	0.042266	0.099549	0.076869	0.083618	0.055600	0.041485	0.075689	0.066539	0.074176	0.048380	0.041564	0.048661	0.084022	0.072247	0.089336
,	0.071798	0.075871	0.093739	0.060614	0.057706	0.042432	0.094775	0.079621	0.055236	0.061780	0.052876	0.051928	0.078700	0.073237	0.049687
ordering	0.064766	0.080007	0.057481	0.052123	0.050870	0.059742	0.056398	0.069823	0.059828	0.064136	0.056221	0.069501	0.104137	0.054798	0.100170
an	0.050562	0.072624	0.071366	0.058005	0.064850	0.052707	0.082570	0.079642	0.070931	0.068162	0.048517	0.048080	0.091102	0.069543	0.071339
o	0.051783	0.068326	0.053540	0.068562	0.075348	0.062995	0.061596	0.071834	0.056932	0.064520	0.068713	0.062983	0.087316	0.069011	0.076542
##mel	0.058451	0.068842	0.062148	0.059098	0.066323	0.050631	0.088491	0.072648	0.084453	0.056962	0.049267	0.046453	0.092751	0.077712	0.065770
##ette	0.061494	0.063400	0.061710	0.065900	0.076813	0.041772	0.078392	0.054910	0.074201	0.053510	0.046862	0.056750	0.119015	0.079244	0.066027
.	0.070255	0.081724	0.049720	0.063526	0.055986	0.051019	0.060371	0.084609	0.074406	0.075137	0.040314	0.054837	0.099162	0.078703	0.060232
[SEP]	0.057834	0.079341	0.046066	0.082418	0.059679	0.061528	0.068607	0.063236	0.068020	0.053611	0.076050	0.063782	0.084634	0.058641	0.076552
