TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.076840	0.053276	0.084540	0.058069	0.090370	0.077962	0.085753	0.088756	0.099191	0.070951	0.094508	0.119784
A	0.075925	0.080308	0.070921	0.057484	0.079225	0.102258	0.093433	0.110639	0.106125	0.067756	0.074457	0.081470
person	0.075278	0.046072	0.076359	0.072995	0.082079	0.088449	0.093118	0.072542	0.101120	0.077826	0.081910	0.132252
is	0.070728	0.071008	0.062777	0.069691	0.088313	0.097672	0.091475	0.091027	0.119185	0.065000	0.075618	0.097505
training	0.087700	0.063181	0.097017	0.067304	0.080654	0.114113	0.081102	0.091809	0.071900	0.063475	0.090480	0.091266
his	0.068271	0.069320	0.082349	0.083178	0.078031	0.089460	0.078203	0.096014	0.101079	0.080224	0.064574	0.109298
horse	0.077059	0.053338	0.080459	0.089144	0.095111	0.096200	0.073336	0.102096	0.098660	0.069921	0.071085	0.093592
for	0.091358	0.061609	0.067637	0.054300	0.093830	0.101532	0.082809	0.089217	0.114679	0.065716	0.083561	0.093752
a	0.063600	0.071026	0.100881	0.059179	0.095920	0.108104	0.089697	0.094938	0.072069	0.062609	0.088584	0.093392
competition	0.076522	0.063428	0.074128	0.062774	0.087093	0.100606	0.106994	0.109242	0.079185	0.060005	0.082997	0.097026
.	0.095165	0.075634	0.070866	0.054121	0.091760	0.105826	0.073918	0.083187	0.068224	0.079182	0.082273	0.119844
[SEP]	0.079935	0.069091	0.077636	0.066877	0.096539	0.105230	0.071521	0.090566	0.093953	0.074540	0.091187	0.082926
