TOKEN	[CLS]	A	person	on	a	horse	jumps	over	a	broken	down	airplane	.	[SEP]
[CLS]	0.059894	0.067094	0.049201	0.065026	0.077377	0.073371	0.082995	0.078457	0.066221	0.097393	0.052660	0.076513	0.092637	0.061160
A	0.055973	0.064530	0.047071	0.063001	0.073334	0.071371	0.082818	0.072225	0.071123	0.081023	0.044422	0.075936	0.114597	0.082577
person	0.076859	0.060418	0.051392	0.068128	0.089608	0.059132	0.083564	0.081351	0.082588	0.076633	0.062071	0.079578	0.073705	0.054972
on	0.069910	0.060481	0.055745	0.059442	0.070465	0.066229	0.080319	0.081993	0.063828	0.078032	0.061731	0.066422	0.104520	0.080885
a	0.054786	0.066321	0.066627	0.057022	0.079246	0.039621	0.082883	0.090026	0.069003	0.081163	0.058804	0.081445	0.093103	0.079950
horse	0.066025	0.059332	0.054415	0.064130	0.094389	0.056100	0.056826	0.088551	0.073538	0.094286	0.058567	0.068764	0.095484	0.069593
jumps	0.068078	0.062961	0.050706	0.071155	0.081084	0.057331	0.091500	0.079388	0.078008	0.063442	0.048538	0.077953	0.103639	0.066216
over	0.061769	0.065891	0.041862	0.078944	0.081912	0.051010	0.092715	0.093926	0.073810	0.075650	0.063022	0.080785	0.073532	0.065171
a	0.080875	0.059822	0.058319	0.064728	0.076792	0.050251	0.086696	0.088838	0.072277	0.066715	0.059845	0.068118	0.091681	0.075042
broken	0.071488	0.060122	0.056851	0.061070	0.081035	0.044594	0.083252	0.089297	0.067002	0.071448	0.051489	0.073804	0.114962	0.073587
down	0.054397	0.079718	0.055503	0.047688	0.075952	0.070463	0.075622	0.080697	0.077900	0.082788	0.062583	0.079945	0.080047	0.076696
airplane	0.073723	0.055476	0.051466	0.066836	0.078623	0.056484	0.058482	0.063004	0.074667	0.101898	0.059729	0.090278	0.092935	0.076400
.	0.059499	0.063758	0.054383	0.079089	0.080769	0.061847	0.083343	0.076002	0.065772	0.099014	0.044589	0.057555	0.102521	0.071858
[SEP]	0.063814	0.056380	0.051767	0.077442	0.084972	0.052212	0.071897	0.078379	0.081148	0.073044	0.053552	0.076246	0.095050	0.084095
